Date,Profit
12/1/2010,45867.26
12/2/2010,45656.47
12/3/2010,22553.38
12/5/2010,30970.28
12/6/2010,30258.77
12/7/2010,53061.64
12/8/2010,37894.06
12/9/2010,37139.86
12/10/2010,31903.45
12/12/2010,17014.2
12/13/2010,27365.09
12/14/2010,26826.24
12/15/2010,29250.54
12/16/2010,47773.32
12/17/2010,18082.22
12/19/2010,7275.35
12/20/2010,17551.68
12/21/2010,15727.96
12/22/2010,4821.12
12/23/2010,5379.97
1/4/2011,11029.51
1/5/2011,28146.2
1/6/2011,31847.06
1/7/2011,22194.34
1/9/2011,15524.53
1/10/2011,14968.4
1/11/2011,59405.27
1/12/2011,16402.49
1/13/2011,15068.36
1/14/2011,39310.06
1/16/2011,6850.94
1/17/2011,16450.03
1/18/2011,10292.66
1/19/2011,21238.02
1/20/2011,14824.35
1/21/2011,23614.15
1/23/2011,10191.8
1/24/2011,17423.7
1/25/2011,22888.43
1/26/2011,16995.48
1/27/2011,19411.79
1/28/2011,15740.31
1/30/2011,6383.3
1/31/2011,17530.72
2/1/2011,25762.88
2/2/2011,16923.4
2/3/2011,22036.65
2/4/2011,17966.14
2/6/2011,3439.67
2/7/2011,22961.9
2/8/2011,13931.56
2/9/2011,11910.83
2/10/2011,12701.29
2/11/2011,16094.14
2/13/2011,5467.25
2/14/2011,22543.41
2/15/2011,37589.17
2/16/2011,23195.68
2/17/2011,17648.84
2/18/2011,14158.38
2/20/2011,9392
2/21/2011,32167.79
2/22/2011,28932.8
2/23/2011,19217.13
2/24/2011,21309.93
2/25/2011,15811.24
2/27/2011,9347.26
2/28/2011,15024.73
3/1/2011,22738.34
3/2/2011,18271.8
3/3/2011,32267.01
3/4/2011,17270.62
3/6/2011,9542.53
3/7/2011,19503.98
3/8/2011,22119.96
3/9/2011,20188.51
3/10/2011,23907.44
3/11/2011,17414.85
3/13/2011,4106.72
3/14/2011,25711.37
3/15/2011,14646.58
3/16/2011,20951.49
3/17/2011,30875.82
3/18/2011,23045.42
3/20/2011,19761.49
3/21/2011,15674.85
3/22/2011,18813.71
3/23/2011,21503.42
3/24/2011,36361.75
3/25/2011,27104.92
3/27/2011,8928.4
3/28/2011,19407.45
3/29/2011,37010.07
3/30/2011,29127.82
3/31/2011,22319.89
4/1/2011,23215.12
4/3/2011,6807.48
4/4/2011,20816.79
4/5/2011,26876.48
4/6/2011,12615.31
4/7/2011,16496.43
4/8/2011,20677.41
4/10/2011,9329.65
4/11/2011,19936.74
4/12/2011,23542.55
4/13/2011,23961.4
4/14/2011,34875.09
4/15/2011,17992.191
4/17/2011,12609.14
4/18/2011,19830.8
4/19/2011,18310.14
4/20/2011,25284.72
4/21/2011,27702.7
4/26/2011,21074.97
4/27/2011,23215.03
4/28/2011,20052.53
5/1/2011,6949.11
5/3/2011,13265.66
5/4/2011,27427.96
5/5/2011,24768.15
5/6/2011,30561
5/8/2011,18673.5
5/9/2011,21394.84
5/10/2011,27551.39
5/11/2011,31401.41
5/12/2011,57836.62
5/13/2011,25809.84
5/15/2011,9667.15
5/16/2011,35667.02
5/17/2011,45385.61
5/18/2011,32629.54
5/19/2011,30304.45
5/20/2011,24889.79
